account_id,customer_id,type,balance
6547fea-8198-4fdd-9637-fd090d07779,994cd3ba-16a0-417a-922f-02ae4391787a,Saving,8220.31
ee13ca6-9c1e-4e57-bb06-57f7fe752fd,6887e890-e0b2-440c-a548-ddc5e33278ab,Checking,4900.37
3d7523e-cecc-4268-8a59-385129b8bda,4fa057df-0af0-4dac-b0ba-0e5edaed630f,Saving,9130.38
d512e27-c2e6-4025-b2a1-db07854d54e,3596476a-07c3-41dd-9f5d-1bb60d3e1d54,Checking,8138.82
d399714-33c3-4857-95ef-db5c106be43,3596476a-07c3-41dd-9f5d-1bb60d3e1d54,Saving,2901.08
6926653-58b2-49f8-ba38-151bb35a888,95205116-5318-4822-934b-538ab84c80d0,Saving,3893.69
5f1e6ab-59e0-4d10-b3f4-d334fdb9955,90a4999d-bcc3-4d1b-b3f2-009eeb043172,Saving,4839.26
b912c86-5e8c-4757-b35a-8ba0dc0e23d,fb571cf4-7c9e-4395-8960-ab8d3ddc2c88,Checking,7602.97
ef26072-8474-4313-8274-ff063e948de,979a24ea-20e8-4c22-a2e3-d79ac308d09c,Checking,3234.05
a0d9243-1cba-4ef2-8de5-a371eabc80e,b1f63253-2f5b-4ace-bcdd-7664c00137b6,Saving,4043.96
f7cf182-15d5-43ae-a021-f36c4ee43d3,ee3e4c28-2066-480a-be9a-c5f63d528357,Checking,9713.0
6ef50b9-fd76-414c-a911-270a798437f,2f5e1d9f-4e54-41d5-89cc-3e42318c324f,Checking,8049.95
821bc80-8953-4d58-8178-fa7feb0931b,995fe4c3-6f9d-40b1-bc05-122dd962ce42,Business,9514.07
8e20f30-431d-4388-a9f6-033b3d49181,2e90bf2f-c4fc-4452-8d2d-b9999bc27585,Checking,4166.74
418f2ee-4644-4ad9-a364-c9a836289f9,2e90bf2f-c4fc-4452-8d2d-b9999bc27585,Saving,8918.8
277ba36-69e8-41f5-9d74-a39451544bf,134fc756-318f-4262-9c1a-e7bbb6ea3036,Saving,3433.14
8b26423-801c-4e07-9d90-ed5772440db,2e4b56c2-f65b-437b-8fe9-3ba1353e2b98,Checking,5476.33
d512e24-c2e6-4025-b3a1-db07854d54e,9758c27c-f8d7-4e4a-8d98-aad8cd36048d,Saving,7334.69
ea554dc-8238-4b68-a33e-ab6aa0b3cf4,47876efe-d8db-424f-a841-e6522173d02c,Saving,1434.46
15e0a18-529c-40f9-a8de-1da8982a36d,33f4f1d9-1003-45a3-b131-f3e14f4b96b3,Saving,6246.0
69de036-7f62-499e-b1a3-f15291aa63c,e1565084-f7d6-4e17-a535-e0cc171de1d4,Business,1315.1
47b6e0f-60ac-484b-8452-7ff9c14497e,f3616307-e9fd-4a95-8118-27f4ff5559a5,Saving,1012.52
c02e054-3f22-4040-b206-061ae32ca63,7d3770e8-b4d4-4d31-9296-e0b2526b7c72,Saving,1298.67
82b79aa-428e-402e-b308-9515cd5cbc6,4d07bfcd-b8b8-4535-99e0-cfaa5c7a35e1,Saving,1880.35
8ef1ab2-d633-4fcf-a2ca-46c224908e4,c723ce76-c550-4ed7-af5b-0107d7da12fc,Checking,9248.82
82f5715-f9c4-4b7c-875c-5a60b0a3f17,430faa41-9bbb-4f99-bea1-6d8f7595fdaf,Saving,8662.31
c1b444d-9843-4363-900c-871870db842,7012e9e5-c3bb-4af9-9972-832356e34c7f,Checking,3728.09
fd594c5-9cdf-4ea7-8ac3-ae801ecbbdf,9406df53-9db4-41ac-b430-cce5ce85ba7e,Checking,949.76
c1e9418-c1e7-4a35-a4b6-b4dbe1ad0c3,7711ed1e-dd04-4508-aa63-05d364cb2e59,Business,9055.47
480d361-a666-4a7b-99d3-bc92c474d68,671784d5-0bc5-40f9-8904-9681a3ec00c3,Checking,9692.48
f1fa136-3a57-4ab4-8895-ad8b9e0e13b,48b20902-6b29-4155-a4b8-28cd929d01c4,Saving,7223.9
10491f9-3e53-4f93-8c00-6b3802cbde7,48b20902-6b29-4155-a4b8-28cd929d01c4,Saving,9626.75
97196ee-8704-4c54-9ea5-8de94dac318,f32657c3-9ccc-4fc0-b4cf-8e2f46f2e572,Saving,8322.64
4889a33-e72b-41e4-80bb-b11c594413b,6f4e2382-4122-4432-8a7b-053f7fffd87e,Checking,6017.03
ac92a60-005e-4629-a220-cd9e845e35c,6ca8a5ea-721a-4f5f-ae29-0a2f5d9ab947,Saving,2571.52
717b114-d392-4ea2-a8fa-a85ed4ae846,6ca8a5ea-721a-4f5f-ae29-0a2f5d9ab947,Saving,9803.07
392a66f-9ff5-4d54-a519-9fcb79d5501,ea7fb0bd-7f53-41a2-b7a4-f857cf6309c6,Saving,1415.72
b036778-7ed3-44aa-8999-1a84235ee4f,39d5f2e7-242f-440c-93ba-16f38de5744c,Checking,7271.07
f2b76fc-4b6c-48cd-9628-613f512c49b,f8cc30aa-b851-456d-98b6-a015476bb878,Checking,6331.45
fff2947-2c00-45a5-a494-cb5bb5b22b8,63c2645d-e8e2-4111-a8fd-7b6ffa8ff16f,Checking,9983.74
ea060ce-2326-433d-a132-ea65cf24de3,417149a8-7e8d-4617-90dc-105241bca718,Saving,3939.0
c1deb24-6cb9-4f8d-95cd-c65451aa711,417149a8-7e8d-4617-90dc-105241bca718,Checking,2907.84
055e264-1e05-4561-87b3-bdb77fc4142,b16d0c21-f342-4299-bff7-a6d65e0a171b,Saving,2138.24
41771ef-5660-46ff-b24b-aaae343ed88,d9065100-4fe0-475a-b4a5-868437713502,Saving,1733.85
e31eac9-d75f-484e-8fbe-062676835fc,6abf3c8d-48ac-456e-97c1-01f0a28172ad,Checking,8248.0
392a66e-9ff5-4d54-a519-89cb79d5501,7e01bd8c-05c8-4af6-834d-dd46797682c0,Checking,604.48
d796db0-e882-42c2-826c-37be7296683,04665d85-aa40-42cf-8d54-d3838e4d3d8a,Saving,9150.94
1ee5d62-a606-4728-81e6-33d583ea499,70f4b5d0-f7b8-4dad-99cd-07d2630c51e8,Checking,4921.41
1fd8e95-fab2-4859-9be4-a3a140552b0,b45f52fb-7937-4e28-ac0f-95d72a855a11,Checking,7546.83
b8d0d4e-b536-402a-be34-f0ba7c3afd0,6b08ec3a-ef94-4c09-9347-f05ed26b2feb,Saving,9773.8
309c0f3-9d91-4940-91cb-9de9f6b4fb8,31778595-3e17-4876-a6fe-a95eaa0e0d98,Saving,1908.74
e1cf626-00aa-4af7-ac80-e7375533361,c897b6f5-5926-4c43-b8d0-385a92832e3e,Checking,1927.48
5f69055-aa42-417d-aef4-2103092027f,b25e51e2-ddcb-44f3-a47e-056f22b6d767,Checking,1283.48
16268bd-e67e-4d89-b68b-8e27b216ed5,2076e65d-efc1-4713-b8a0-1b9e263af406,Saving,7930.81
8344d21-1354-489b-9cb1-e3991c06300,a53db349-5937-4b24-92dd-da48584948d0,Checking,8483.62
bd92721-abc2-49ee-9408-4d52350fafc,e37a88fb-7eaa-4aa1-b542-8f87f42006a6,Checking,3238.27
f5c0111-05d1-475a-bcb6-3d71b8c03f6,d8e07755-7a2a-40f6-aca8-01d8d0a4a729,Saving,1142.01
6d0ef01-67c1-4c5c-a379-cece589e71b,abe5bccb-f7fd-4e40-a6ad-bc55f8b8f946,Checking,3654.8
bc8d87e-4731-49f8-a42f-6f9966ab10c,294ff0e8-e21b-4974-88bb-44ba5eaf0239,Checking,6235.42
f5c0922-05d1-475a-bcb6-3d71b8c03f6,de3f01b3-4899-4abb-aa54-025acf6695c8,Checking,1627.37
33bf05d-c862-422e-a244-31a00d32e77,1a9803bb-9a36-40b4-b60e-085f6b8a4445,Checking,4913.87
264af79-07ec-4b01-b0b2-9ffa7713bf4,a4e9bd99-b132-4279-8e64-2d887c17e49e,Business,2751.52
24b63f3-af11-4da4-9fc6-a37c3782d0d,0b61812b-47cd-41f4-a0fd-ef95c2c15fdc,Checking,8533.51
8b26423-801c-4e07-9a90-ed5772440db,1f786b52-23c4-4967-992c-7463cc3d649f,Checking,984.71
ac44588-ba98-4d4d-b5f3-bf78f6db533,c932d2c3-7952-4b9c-b70d-b9ccc5768dac,Business,5803.42
d65beb4-503b-4bf7-a21a-fceeff3bd6f,705d826a-27f3-4e77-b7e7-a55b359a26fa,Saving,8072.22
f244d10-666b-4847-9d58-f8f5e50ab01,52209716-88a2-4142-88cb-7761084bbb0e,Saving,191.58
320ea06-13b6-4bba-afce-c73b59f71b7,02ebc286-5881-4e94-b700-dbc8d9824493,Checking,2344.36
0f1e6eb-acf9-4474-ac94-09a130de117,5245425c-f962-4b14-b034-c2366c485259,Checking,4989.07
dcccf2a-3215-4910-8150-f81cad900fa,bb4f0c7d-e7f0-4fe1-a0db-6766264acb8a,Checking,6265.78
0d0e781-2863-4aa9-90ef-cee2a196104,9fcfac63-0da2-4c5c-b304-b375d713b947,Checking,9772.33
518deab-3b9a-43a0-bc83-b78a0121707,d21a5bca-f066-4531-b98e-9a348f1be8f7,Checking,5178.94
69f8b7b-3adb-44d7-ab86-a77b98c8c67,600c3049-4f8f-4e64-8597-e862fe7b29f3,Checking,6564.36
5703ce6-a3dc-4cab-b4a6-96936357907,e44e7b67-a96d-491f-8fe2-fe2a5a390e0a,Saving,8203.06
e3930b3-ff26-45b5-b191-ffe399cb358,a8d0e3a4-1860-49c5-97fa-fb12c5ee3543,Saving,9253.56
b8d0d4e-b536-402a-be34-f9ba7c3afd0,a8d0e3a4-1860-49c5-97fa-fb12c5ee3543,Checking,1725.46
6c3d0f3-6859-4ad2-ac23-62c05553108,b8fb0402-7aa7-4ce7-b4be-9e97d2be121f,Checking,307.68
1700b08-54e1-4c6a-a26c-cee494faa6f,41f389cd-749f-4bbf-b9e6-a5b98d47b163,Saving,4444.44
02e6336-d079-41af-8819-e602972bce6,d0db89a3-a52c-4c32-91ae-3ebf83111d92,Checking,3964.64
b3cd2ae-42a5-448c-8db6-f26cdbeee07,d0db89a3-a52c-4c32-91ae-3ebf83111d92,Checking,3198.93
dcccf2a-3215-4910-8150-eeecad900fa,156727be-fbfd-442e-89d1-7b1ce8de93af,Checking,2198.72
e3930b3-ff26-45b5-b191-50e399cb358,e4a6c651-f2c2-466a-896c-456e56b7bb91,Saving,4431.52
2258875-bc68-44fd-a404-0069f596ae1,e4a6c651-f2c2-466a-896c-456e56b7bb91,Checking,7676.43
993d54a-6bd1-43e7-b0ff-cfb7124485b,f988e150-0919-4d62-8a25-acc443d18aa8,Saving,5223.22
b4a6b20-a4b4-44e3-9415-1210262b661,85898427-d178-4c34-a1cb-c3b6239d6cf2,Checking,9906.09
6ba9dd1-e84b-412b-9294-e05335a538f,ef09e6ef-959a-46e8-b6f9-9ed8c8ae7a42,Business,2222.63
64cd7bd-eec6-47fd-a7ae-8656320131a,30ada524-9037-4705-bcf1-8fbfef5671d7,Checking,6550.98
ef26072-8474-4313-8274-12063e948de,09a2b24f-f2cb-4615-b9fa-17e8637cda32,Saving,7001.39
074a426-4de6-40b5-9ac7-b679f473f33,ec8e5212-ddea-47e9-bba9-9b7af0570d90,Checking,9358.04
b3f61e3-e002-47bb-9f0c-3ee606cf606,af89bfae-08c5-4579-8dd8-e39d8975029f,Checking,7317.02
29e0e9d-2fb1-463e-8e7c-1b4d3b8b896,0ebd9143-d35a-4c90-9587-2cbf9af21547,Checking,6219.23
2796533-b14c-4d7a-ba38-2794557a5ec,359ed037-95ab-43f7-ada5-c9f2e372069a,Saving,1085.02
df6c0e6-4a5a-499c-891f-65319e5cc76,e439c804-444c-4908-b158-8f0295af592b,Saving,1153.66
316728b-2b60-440c-816e-43d93ef96d7,70492aad-a106-427a-9483-85e6186a3119,Saving,5221.99
eb7876c-f1be-4368-a43d-a6a2fa31707,ff48626b-93e3-4378-a6d0-30f82984638f,Saving,9504.9
4d141fe-8541-4117-9486-faceb7486bb,3292bc68-b41e-4a05-bcef-5977b6d163b2,Checking,3040.89
93eb453-0511-4d0d-839b-ebacaed7b30,0b8f993e-bc86-4935-b03d-8309d648e496,Checking,848.81
7637150-f85d-4e0f-bf68-42d1e685d06,666225bb-3138-4f1d-b593-417c0a5105df,Saving,3251.43
f423633-45f0-4576-b32f-89f01c3455f,666225bb-3138-4f1d-b593-417c0a5105df,Checking,6652.29
ee13ca6-9c1e-4e57-bb06-5ff7fe752fd,fa19de4d-574c-4579-bc3d-0c6ebfbd8d7b,Saving,8485.37
7899eff-23a4-47fb-ad9e-e86dd97e0a8,417cd010-83a5-46d8-926a-e820514b0854,Business,7617.91
6b6d5ed-00db-4084-8450-e641f6ce7a9,ea9b707a-d709-41ea-adc6-fa737d60acdb,Checking,296.01
221f2aa-f3d5-478d-b8f6-983c3aca576,26cbf121-06c5-4bbf-84c5-1ee52692cc06,Checking,7632.07
78125a6-cbec-4d91-81f6-de99afc7dec,cc7088b1-33be-472c-b082-d222b34628d6,Checking,7942.68
20e288e-9400-47e8-97da-85fd09b3572,356971cc-7cdf-44d3-b758-4c9dcf453553,Checking,9048.62
d5f9485-08eb-4e57-97c6-f45f3ece714,08a3c94f-f873-4707-a919-23d6d4f4fe80,Saving,1053.29
7152a60-4246-47c7-8f7c-dbca72853fd,e53f2326-3123-4852-8182-faf934ee3494,Checking,6025.52
eb29704-d3a8-4918-9a29-0dd078b5803,c080add9-daf4-4ec8-a335-2531b59e05ef,Business,6121.01
5ddb048-e104-46e3-977e-40f6cd6f6eb,c080add9-daf4-4ec8-a335-2531b59e05ef,Business,7232.88
e991176-ec49-43f3-866c-d7c8acf4e56,8e52689f-14d8-475e-adbf-dd036af39ec1,Saving,9554.43
dcccf2a-3215-4910-8150-f00cad900fa,801a8e1b-e047-48eb-85d4-65b2a67bda99,Saving,7360.93
b8ed8ad-c179-4625-abdd-79f35fa7917,8e198010-bbdf-4578-a5fd-40716af28c45,Checking,3624.71
5484b46-f3a6-43a2-8bfd-1fab7e31082,a3d9e5f9-6613-4146-b6a7-275bff115946,Saving,275.26
6d0ef01-67c1-4f5c-a379-cece589e71b,dd5756b1-e252-4baf-a977-0ff2d9a5e6ee,Checking,5536.03
993d54a-6bd1-43e7-b0ff-cdb7124485b,632330a9-d582-4ca6-a6e1-4821faa2d772,Checking,4435.49
354a2a1-c3af-4761-9093-931c93f1078,1b0d2425-24d8-4849-9f29-87aeb303fbdb,Checking,2361.24
47b6e11-60ac-484b-8452-6ff9c14497e,be590c29-f00f-4e02-9b7c-333b7831c074,Saving,119.88
7daa6f6-ba28-45bb-b8f2-a8ade35b4f1,b83459ee-b292-416c-8047-7fc62a38c61f,Saving,8234.64
0176e46-4068-4ddb-8a0f-ce6deee0f73,23f607ae-5c7d-41d9-8e8f-52a059b93185,Checking,7857.82
e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,e6e2cf54-aa95-42bf-8c16-31dd737f8c60,Saving,4714.22
dc79d69-3387-432f-b89a-ef13e86cf3c,1117bd34-e5d3-4694-ba3e-3defc1b44b24,Checking,9394.49
6f51262-76b3-411f-9e94-7ee3f69d235,49b68c1a-5e2c-4bb1-9755-da5792160387,Checking,1030.38
8475cc0-8de5-4e85-aacb-cc8e80796c1,49b68c1a-5e2c-4bb1-9755-da5792160387,Checking,9882.49
17ef605-d2a3-47ac-b4a7-1c95a461fc9,550cb428-8257-4d82-a758-36c41bb89ac7,Saving,2698.79
b779f7c-2540-48f9-b474-8486003442d,43c443ee-cabe-4f37-b127-da7b231cd4e4,Business,2839.75
8f2d5eb-abe6-4aa7-af91-67f13c21277,1104fd44-54fe-4fd5-943f-c84b11643a87,Checking,7875.15
fadba6e-6ef6-4286-966e-419778c3c5b,c4b397d5-9475-4fd6-9772-950290ec7291,Saving,8024.65
d74ee24-2b4d-4e91-b52f-d49648344f8,2fff3a40-9624-4475-a820-09835fa98b6e,Business,7437.62
