transaction_id,account_id,time,amount,type
6698211-b9d0-44fb-9338-5a004999b32,eb29704-d3a8-4918-9a29-0dd078b5803,023-07-16T10:58:34,-76.48,ATM
ff6a885-0ea3-416f-8ffd-d2e73336adb,eb29704-d3a8-4918-9a29-0dd078b5803,023-03-29T07:27:15,313.06,ATM
6071610-605c-49f2-ba1d-da94571d688,eb29704-d3a8-4918-9a29-0dd078b5803,023-09-24T10:54:32,-700.26,Debit
fca6fd2-edc3-430c-9767-cdaa4022a9f,eb29704-d3a8-4918-9a29-0dd078b5803,023-09-06T00:21:25,-799.16,ATM
12a5358-2ab1-43b9-afd5-6a46413abb8,eb29704-d3a8-4918-9a29-0dd078b5803,023-03-24T21:27:07,71.13,Debit
fe755b6-1957-4dda-932d-9c0bc3093cc,c1b444d-9843-4363-900c-871870db842,023-05-18T09:07:31,27.85,ATM
bde4907-a4c7-43b6-8d37-cb740e66afd,c1b444d-9843-4363-900c-871870db842,023-03-06T08:45:03,-36.92,ATM
8d56495-efdc-494f-b551-f584b1bc950,c1b444d-9843-4363-900c-871870db842,022-12-27T13:19:48,-979.72,Wire Transfer
6105654-8b31-4edd-b70e-1f67733ad3b,c1b444d-9843-4363-900c-871870db842,023-06-03T03:53:33,585.43,ATM
42019b4-5ffc-4339-9d57-c6fd6af6a3e,4696088-f7c5-4cc5-a5aa-0dfedde7eda,023-03-29T14:02:16,157.0,Check
566c322-0cc3-4428-a76a-76c8d8d7544,93eb453-0511-4d0d-839b-ebacaed7b30,023-01-29T15:43:36,261.83,Check
3f4e055-dbb3-47ab-ab9b-3cb32fc010d,93eb453-0511-4d0d-839b-ebacaed7b30,023-09-15T05:40:43,-204.7,Debit
ee3b468-20da-4b2b-b559-9a9e8adadc2,93eb453-0511-4d0d-839b-ebacaed7b30,023-09-26T02:24:00,-579.54,Debit
ae830c3-86e6-4dd0-9062-0735621145d,93eb453-0511-4d0d-839b-ebacaed7b30,023-08-07T08:23:34,892.13,ATM
3aa5391-0c1a-442e-87c5-00645a441f2,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-02-14T22:00:28,312.91,Debit
4e0c503-83d9-496b-aef8-813bd5b42d5,0176e46-4068-4ddb-8a0f-ce6deee0f73,022-11-09T08:44:15,813.08,Check
3496b04-71e1-4290-850f-de49403ad07,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-07-16T08:34:38,953.07,Check
534a9b4-d2e2-4db0-8813-a92f50abd9b,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-08-09T02:43:13,-447.86,Check
3833b77-57fb-4e3c-b39f-1f34af63a94,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-07-25T16:20:50,-199.72,Wire Transfer
9277c7d-86f4-4810-84ae-5fc79718ce0,0176e46-4068-4ddb-8a0f-ce6deee0f73,022-10-27T04:06:45,650.64,Wire Transfer
d791318-8110-40fc-a1d4-ff4096ec7bf,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-02-23T13:12:27,-589.95,Debit
d09a8f2-6240-49df-b569-2921a5cfda5,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-03-14T21:42:07,122.87,Check
122d234-889b-4c5c-9e70-8044c34f584,0176e46-4068-4ddb-8a0f-ce6deee0f73,023-08-11T17:02:51,-941.65,Debit
24a5668-fbb9-4127-aff4-36e462f9c03,cb81b04-caea-4fea-bfd4-b8457efa6dc,023-06-08T06:37:57,-563.59,ATM
6d341d4-f383-474f-a4d0-51f5c807f51,1ee5d62-a606-4728-81e6-02d583ea499,023-09-25T20:31:53,938.27,ATM
5064434-5cfc-4753-9636-ef4ad3fd9e6,1ee5d62-a606-4728-81e6-02d583ea499,023-05-03T13:58:39,45.32,Debit
7fb625f-53dd-4c94-beeb-955863f97ed,1ee5d62-a606-4728-81e6-02d583ea499,022-10-25T20:06:53,214.52,Debit
c4892b3-a4e8-4998-9bdd-7e77bcbade2,1ee5d62-a606-4728-81e6-02d583ea499,022-11-14T17:55:12,438.74,Debit
aa0ce1d-54ee-4e73-ac63-8adcc5fca44,1ee5d62-a606-4728-81e6-02d583ea499,023-06-30T19:28:33,-735.99,ATM
3bdf0c8-a17a-41ea-aedd-c89925d8d0f,1ee5d62-a606-4728-81e6-02d583ea499,022-10-13T14:35:29,877.01,Wire Transfer
6e9bde9-d844-4578-97fa-c8f47474bed,df6c0e6-4a5a-499c-891f-65319e5cc76,023-01-08T09:09:21,186.91,Debit
69d3b37-4001-4802-b741-b9c16cfc14c,df6c0e6-4a5a-499c-891f-65319e5cc76,023-01-17T13:34:15,-14.64,Check
1a94467-529c-4c03-8319-73cefa26b40,df6c0e6-4a5a-499c-891f-65319e5cc76,023-07-24T17:44:40,-155.85,Debit
044fdde-4173-4b1e-b038-e6d761c9a7e,df6c0e6-4a5a-499c-891f-65319e5cc76,023-01-29T20:21:11,-727.29,ATM
98f0919-5132-4caa-82dc-26c77734a80,df6c0e6-4a5a-499c-891f-65319e5cc76,022-12-17T09:50:32,-835.64,Check
9bf1ba6-d168-41ca-b1d9-9045501613d,df6c0e6-4a5a-499c-891f-65319e5cc76,023-03-28T04:50:04,-47.49,Check
f3425f5-94cc-434f-8225-bdd3aa515e9,df6c0e6-4a5a-499c-891f-65319e5cc76,023-07-23T08:50:05,-83.64,Wire Transfer
70f86f4-c3d8-413d-ba2d-b8aa37b8ec5,df6c0e6-4a5a-499c-891f-65319e5cc76,023-02-02T05:17:48,807.72,Check
b25fbf4-54b6-4438-9b17-00bb8cc8141,df6c0e6-4a5a-499c-891f-65319e5cc76,023-08-19T04:17:37,256.17,ATM
3f2f14d-9a91-46d2-9d98-250025554e1,df6c0e6-4a5a-499c-891f-65319e5cc76,022-11-21T07:16:38,200.75,ATM
48532c2-4713-4d23-a232-25b99c339e2,2258875-bc68-44fd-a404-0069f596aa1,023-04-08T06:08:01,-436.47,ATM
e7942f6-f770-4afc-a624-b63af11bac8,2258875-bc68-44fd-a404-0069f596aa1,023-05-18T15:28:35,608.93,Debit
66d3038-2da5-421f-9bb5-c164c58ea50,2258875-bc68-44fd-a404-0069f596aa1,023-08-21T16:06:51,43.16,ATM
2bcb01a-368b-419d-86b5-c6f63a62c21,2258875-bc68-44fd-a404-0069f596aa1,023-06-29T19:09:25,-340.15,Wire Transfer
728396b-248b-47f0-834e-6134ffb41cd,2258875-bc68-44fd-a404-0069f596aa1,022-12-17T05:12:28,366.03,Check
bae63d0-1cf3-49b8-b175-a3eb24f59c6,2258875-bc68-44fd-a404-0069f596aa1,023-07-02T05:11:26,-869.6,Debit
718d57f-0aaa-4aa7-af05-0a0eec8ac04,2258875-bc68-44fd-a404-0069f596aa1,023-05-17T19:19:44,-114.1,ATM
534a9b4-d2e2-4db0-8813-a92f50abd9b,ea060ce-2326-433d-a132-ea65cf24de3,023-04-04T00:55:04,547.87,Debit
30547a1-2fc0-4a03-9813-5639937b358,ea060ce-2326-433d-a132-ea65cf24de3,023-08-07T01:39:00,618.91,Wire Transfer
a87acf8-0a49-4cd2-9259-eb9290807f6,ea060ce-2326-433d-a132-ea65cf24de3,022-11-20T22:21:41,-119.87,Debit
dca70b2-a1be-4742-ab5c-b9b0eab5f5b,ea060ce-2326-433d-a132-ea65cf24de3,022-12-28T07:14:56,768.61,Debit
9eff182-57b8-46bb-8b38-bc226463482,ea060ce-2326-433d-a132-ea65cf24de3,023-03-29T01:55:40,940.92,ATM
942ce5c-8ab6-4688-ae9a-1daab12dfb6,ea060ce-2326-433d-a132-ea65cf24de3,023-05-13T09:27:12,106.88,ATM
0069332-80b4-43b9-89b0-43ab1b74719,ea060ce-2326-433d-a132-ea65cf24de3,023-03-14T08:40:57,897.44,Debit
f43fcee-c9af-4e9e-a082-597f04387bb,ea060ce-2326-433d-a132-ea65cf24de3,023-03-06T09:07:10,41.02,ATM
1f07514-dd7f-4e06-a1d8-086d7b2025a,1eb3894-8437-4047-b638-5f7b2b30ae6,023-08-29T14:22:18,759.49,Debit
eb326ef-20a4-46df-8e60-b7ccd603685,1eb3894-8437-4047-b638-5f7b2b30ae6,023-02-18T17:07:00,-781.89,Debit
46eda87-50ca-4542-b82e-581bac69b9d,1eb3894-8437-4047-b638-5f7b2b30ae6,023-02-08T16:26:38,244.52,Wire Transfer
874708c-52ef-4ee6-81a0-be9a3bcfbcc,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-06-04T21:50:08,442.56,Wire Transfer
77d69f5-707a-4506-8340-7ef12563208,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-08-03T01:15:38,-800.21,ATM
dd6ed33-411c-42be-886c-e8c3d2c53d7,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-08-20T06:11:12,-49.99,ATM
f5eb436-2de8-483a-896e-d17395965c6,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,022-11-24T10:39:37,734.89,Debit
4e0f3ce-dfd4-43b5-9e41-53cbe179a0d,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-06-04T22:30:41,-720.67,ATM
6615078-89de-4e17-933e-e2ae95f3d73,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,022-11-17T09:03:29,-923.46,Debit
1ad1ab2-0c10-4a06-98ba-0f78e08bea6,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-06-19T05:25:51,-998.83,Debit
32f054d-b5d1-4a17-9d58-927d2b7ce7f,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-03-28T18:09:53,819.1,Wire Transfer
ab4bdd3-1e06-4a44-bffb-b4d50b9c77f,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,022-11-13T02:49:29,-307.77,ATM
432c81c-639f-43f2-8c50-40f3e24f100,e8ee3ed-21e3-4484-a9e5-c9afaf6a13e,023-01-28T04:39:41,737.35,Debit
e7942f6-f770-4afc-a624-b63af11bac8,ed3df5f-0862-4955-a104-92f2fad837b,023-09-10T17:23:55,425.95,ATM
2b5f55a-0548-472d-803b-e3c9aca8522,ed3df5f-0862-4955-a104-92f2fad837b,023-01-02T18:44:44,751.11,Check
2b5f55a-0548-472d-803b-e3c9aca8522,c02e054-3f22-4040-b206-061ae32ca63,023-09-15T17:40:01,576.32,ATM
399bf48-fb6b-4e4f-9c4c-27cf93cb537,c02e054-3f22-4040-b206-061ae32ca63,023-06-22T14:44:57,-793.38,Debit
bdeba61-c494-4d06-a5ca-57836d30e33,c02e054-3f22-4040-b206-061ae32ca63,023-09-28T21:35:47,632.8,ATM
a3fd72b-c1aa-4021-afb4-b1f31bcca11,c02e054-3f22-4040-b206-061ae32ca63,023-09-06T16:15:25,658.86,Debit
8b6512f-d5f3-465a-9ed5-47bae8f9583,c02e054-3f22-4040-b206-061ae32ca63,023-05-29T08:51:04,-309.27,ATM
c50da7a-c34f-4076-a091-ca905a4cd60,c02e054-3f22-4040-b206-061ae32ca63,023-05-10T15:49:17,-905.6,Debit
deafe8e-bd5d-4571-a270-8cf96a996de,c02e054-3f22-4040-b206-061ae32ca63,023-04-10T11:40:08,-164.43,ATM
74d4724-a6b9-4e9b-b824-074bb3c386e,c02e054-3f22-4040-b206-061ae32ca63,023-05-25T13:03:34,264.56,ATM
adfd247-2abb-49cf-b0a4-b72ba030e2f,c02e054-3f22-4040-b206-061ae32ca63,023-02-26T08:20:32,-153.0,Debit
47c5714-5684-4806-ab35-c8a0d73e519,c02e054-3f22-4040-b206-061ae32ca63,023-01-21T00:28:17,96.17,Debit
264367d-aa79-4efc-a927-433e5c4a734,e3930b3-ff26-45b5-b191-50e399cb358,023-03-30T11:29:48,240.36,ATM
adfd247-2abb-49cf-b0a4-b72ba030e2f,e3930b3-ff26-45b5-b191-50e399cb358,023-02-28T20:41:36,887.12,ATM
b3167a6-834d-4476-99c2-af7e70bc271,e3930b3-ff26-45b5-b191-50e399cb358,023-10-10T07:14:45,591.31,Check
3cbb1e4-991c-4047-9d20-1f6a5b7c412,5703ce6-a3dc-4cab-b4a6-96936357907,022-11-03T01:10:12,-755.63,Wire Transfer
eba8cb0-184e-4404-b8c7-74bb97b1a6c,5703ce6-a3dc-4cab-b4a6-96936357907,023-04-15T18:36:07,471.3,Debit
cd1085a-ff21-4398-a6b1-d06abcfa4f1,c1e9418-c1e7-4a35-a4b6-b4dbe1ad0c3,022-12-29T11:17:16,-811.44,Debit
2c6aef4-7236-4936-8d21-8c97d8a40e2,c1e9418-c1e7-4a35-a4b6-b4dbe1ad0c3,023-03-12T23:51:47,-551.31,Wire Transfer
4621461-23c7-41f1-a8cb-87fb3abda03,c1e9418-c1e7-4a35-a4b6-b4dbe1ad0c3,022-10-23T17:02:28,198.95,Debit
877006a-e30c-4191-8e96-6966d7b7886,eb7876c-f1be-4368-a43d-a6a2fa31707,023-08-07T08:23:34,-921.67,ATM
adfd247-2abb-49cf-b0a4-b72ba030e2f,eb7876c-f1be-4368-a43d-a6a2fa31707,023-09-17T12:15:27,-644.99,Debit
7a2e73e-6cfb-4900-a68b-0be9c670547,eb7876c-f1be-4368-a43d-a6a2fa31707,023-02-18T12:45:12,819.56,ATM
876cf1e-62e7-44ce-b49d-ed8dbc53286,eb7876c-f1be-4368-a43d-a6a2fa31707,023-04-16T00:24:05,-981.91,Check
f66b75f-8c6d-45f0-8942-bbcffbcbb1b,eb7876c-f1be-4368-a43d-a6a2fa31707,023-05-01T12:00:48,-706.39,ATM
b607ce3-7902-43bc-8c84-1fe379f9949,f423633-45f0-4576-b32f-89f01c3455f,023-03-15T22:42:40,-117.45,Debit
452e758-92b3-458a-b3aa-1c484431d7e,f423633-45f0-4576-b32f-89f01c3455f,023-06-14T07:41:45,409.03,Debit
5282ccc-c253-4e18-bca7-08eec620fbe,f423633-45f0-4576-b32f-89f01c3455f,023-05-22T11:18:59,-43.57,Debit
3affd4c-88f6-49b1-88d6-fc9703b4402,f423633-45f0-4576-b32f-89f01c3455f,023-07-14T00:10:15,839.57,Wire Transfer
22b1597-c8bf-445a-b87c-dfb71b02fce,f423633-45f0-4576-b32f-89f01c3455f,022-12-27T13:19:48,481.27,Debit
a6311df-6e2f-4a9b-9f24-7e6184cfb64,e31eac9-d75f-484e-8fbe-062676835fb,023-09-16T03:21:18,-428.7,Wire Transfer
76d743a-f669-4d96-8a70-4b02b34f80e,e31eac9-d75f-484e-8fbe-062676835fb,023-04-28T00:12:13,-904.22,ATM
70ba479-0f6f-4b53-8dd7-9b7b7ae1a14,b3cd2ae-42a5-448c-8db6-c26cdbeee07,022-11-06T13:55:16,-439.25,Debit
4c59658-87e3-44dd-a33f-f07788aa669,b3cd2ae-42a5-448c-8db6-c26cdbeee07,023-03-29T14:02:16,43.4,Check
8aafcba-520e-4f7a-b65d-214aa5e07aa,b3cd2ae-42a5-448c-8db6-c26cdbeee07,023-01-22T06:04:04,396.75,Check
821c5aa-e4ee-4ab5-8567-784cf838342,b3cd2ae-42a5-448c-8db6-c26cdbeee07,023-10-02T05:14:26,451.62,ATM
3a9b8db-26a8-471f-9915-19b4503df67,b3cd2ae-42a5-448c-8db6-c26cdbeee07,023-03-04T20:33:33,646.68,Debit
942ce5c-8ab6-4688-ae9a-1daab12dfb6,277ba36-69e8-41f5-9d74-a39451544bf,023-05-23T13:44:19,-969.29,Debit
c42d6f2-bdea-400c-a537-ec8f8b9432d,277ba36-69e8-41f5-9d74-a39451544bf,023-09-17T01:15:25,-327.05,ATM
b82ba04-3ebe-4db3-91a6-9c29b75510b,277ba36-69e8-41f5-9d74-a39451544bf,022-10-22T08:18:28,-61.33,Check
8e61a4e-32f2-4564-a20f-0e2f6c6e555,277ba36-69e8-41f5-9d74-a39451544bf,023-01-11T07:40:12,-909.52,ATM
60c0d4d-27b9-4556-bf71-ed51262049c,277ba36-69e8-41f5-9d74-a39451544bf,023-09-04T17:58:30,-689.9,Check
3e00197-eb27-48bf-b38e-877c05c9693,277ba36-69e8-41f5-9d74-a39451544bf,023-07-12T00:52:54,-153.02,Check
a33b84c-e866-4ae3-b6e5-735316d365e,12ac157-9bf0-42a2-9517-bbb7cc9ede8,023-05-13T20:07:49,-906.33,Debit
7dc7dfe-4adc-4617-9f15-91c65e4592f,12ac157-9bf0-42a2-9517-bbb7cc9ede8,023-01-06T15:43:17,488.42,Check
315b5a4-972f-4346-b4fb-dccc76130cd,12ac157-9bf0-42a2-9517-bbb7cc9ede8,023-09-24T10:41:41,302.06,Check
fb8bff3-c3de-47c4-aa34-a409534f2bb,12ac157-9bf0-42a2-9517-bbb7cc9ede8,023-08-31T20:26:41,-221.16,ATM
d882089-cfc1-4170-b2c3-ea742934834,12ac157-9bf0-42a2-9517-bbb7cc9ede8,022-11-13T17:54:40,793.36,ATM
7a22eb4-8344-41e2-b7bb-5fef20b844f,ea554dc-8238-4b68-a33e-ab6aa0b3cf4,023-07-27T16:53:04,-324.64,ATM
b0d72dc-f38b-4b6e-8f6a-394386c62a0,ea554dc-8238-4b68-a33e-ab6aa0b3cf4,023-08-25T03:18:01,768.48,Check
348b0e5-f1d9-4c53-bdbc-9b688ffd23c,ea554dc-8238-4b68-a33e-ab6aa0b3cf4,023-06-30T00:15:45,729.04,Debit
5d8d1cc-f804-4d46-82e4-08b079c80ce,ea554dc-8238-4b68-a33e-ab6aa0b3cf4,023-05-04T19:24:58,-398.54,Debit
8e7260d-fb79-43c0-9991-56ea1b671bc,ea554dc-8238-4b68-a33e-ab6aa0b3cf4,023-08-17T18:42:42,222.16,ATM
